,artist,genre,song_name,release_year,id_song
64,眉村ちあき,pop,私についてこいよ,2020,2z69Buu8NsNlNAZ2u6p4bs
65,Nitumoni Pegu,pop,Adi Appun - Original,2020,1hzCes8VaiE93wGFdzKgeV
66,Aditya Bhardwaj,pop,Save Me,2020,6MSKLK7ks9zzOxMQS6SDJt
67,MANOJ TIWARI,pop,"Tu Laaj Bachavelu Maai (From ""Maiya Ji Ke Aanchal Mein"")",2020,0ymQVCEFCQhH7lNsPsBmOD
68,Sankalp Khetwal,pop,Sajyu Bolya Sajegi Barat,2020,44qrfTWkYPUXxfwBHN3Dcj
69,Anupriya Lakhawat,pop,Garba Mashup,2020,4l1BMlg3SJoV3EdemnB1Le
70,Stelios Kazantzidis,pop,Den Boro Pia na Vastaxo,2020,6zfY1mfI3KQjLAb43h1mvK
71,Sunsets and Hearts,pop,Forlorn,2020,6Q5kP0CWqnpWMd4avCVfbX
72,Vishwash Rangila,pop,Jahiya Se Gayila Katar,2020,6drpXaGg6Oz5yVo3J4mro3
73,Neon Boy,pop,gengotooto -purple trap-,2020,4nFA1N4aDCT5z2vzpxJl1D
74,UMAKANT BARIK,pop,Pyar Karne Wala,2020,7dobMLcwg3ZseUNPdinvwE
75,Kulwinder Billa,pop,Sucha Soorma - DJ Charan Sandhu Remix,2020,3uxyyNRa52FabQahatI6KE
76,Ravi Raj,pop,Gayatri Mantra,2020,7HTxLiRUSYOL0oPtG3iF9w
77,Aseema Panda,pop,Mora Tu Heiki Nahu,2020,3NZbPhTzeJJbmLNFfMDucc
78,Nonini Mgenge2Ru,pop,Mchezo Na Ganji,2020,72mnz9uERXzaXEWaF6wEjA
79,Nahawa Doumbia,pop,Sigi Sele - Ben Gomori's Disco Dub,2020,4rqd4Zx6hgDMXK2LUmaJNd
80,Calango Brabo,pop,Ventania e a Mulher Diaba,2020,2TDbmuoEnJsuMuXShTCP3r
81,Pramod Premi Yadav,pop,Mandir Bana Deb Maai,2020,72Wx0lIUBNPBheiFE2Q5g9
82,Geeta Goswami,pop,Banna Badi Majako Wala,2020,3lEWGiZJGb2V0BFmPOebB8
83,Shah Farooq,pop,Laray bande crona da lama paty da gran khua da,2020,27yhtOTPg15FoTVDbtnnDX
84,Shoes,pop,Tested Charms,2020,3lFCgu9aCSvPNOnTQlPlYI
85,El Charrito Negro,pop,El Malevo,2020,3lG0GnfJF08N2zim3JnMD8
86,Prakash Rawat,pop,Pitlye Nathuli - Pahari,2020,57lT79DN2DwX0fY0FeqRJE
87,Biswajit Mohapatra,pop,Dhire Dhire - Duet Version,2020,27yJAS500cRTf75hUtEZxb
88,Nika Turković,pop,Raj,2020,4nEi0y1CSX8RTW3nD4Tcx0
89,Gabrielle Aplin,pop,Home,2020,6s9yLctkaB8l3bhv8KkzTy
90,Kaku Ram Thakur,pop,Sumitro,2020,4vDQU4sI1t8cqPN7BZay28
91,Pawan Singh,pop,Naya Ba Machin,2020,05BjYxTLYLML9RN0f938FN
92,MANA,pop,Luas e Ondas - Remix,2020,66P1gQWZYWvFC48TCjnSl8
93,Benny,pop,No me hace bien,2020,6C0ECxYdWcrEYJiiWKgWTL
94,Sandeep Chandel,pop,Radha Shyam,2020,2C5CHnDpieASNDX1NKQVhE
95,Samar Singh,pop,Botal Canteen Wala Holi Mein,2020,6C0qAvntgMAWGZeInXaexL
96,Nadjmadin Ghoulami,pop,Peshmargay Karaman,2020,6dryfzh3URs9sDa7OH9Ndq
97,Aminu Ladan Alan Waka,pop,Kyautatayi,2020,27z54uBg6euHnAdRtqUX3b
98,Rohana Weerasinghe,pop,Ithiri Une Mata,2020,7s6YiuSaakNKURqARjElDu
99,Laidback Luke,pop,Till Tonight - Dub Version,2020,1VyEf7FrrKeRZk6e05HGb6
100,The Fifth Estate,pop,Liar's Dance,2020,5tJF02JPh2Fh8LmKbJHAfo
101,Kuldeep Pattnaik,pop,Nua Premara Shagun,2020,2HEcHuLZZAyhlvd5tzMKHW
102,King James,pop,Psalms (Part 3).4 - The Holy Bible,2020,7BXGwN5xjvztSTb1cjhjO1
103,Waldo Cesar,pop,Flores Para O Meu Bem,2020,2e7SFH6IL1VaCLDYdhVTM3
104,Nadjmadin Ghoulami,pop,Peshmargay Karaman,2020,6dryfzh3URs9sDa7OH9Ndq
105,Enrique Calvetty,pop,Wrong is Right - Kraundler Remix,2020,1ODP5B0h0Bco0BgbgdkNgc
106,Riyan Raj,pop,Poribortane,2020,2dcNG4oi1mWJk9TFoN4bJ9
107,Тетяна Бученко,pop,Колошматить вітер,2020,1t0jzaQgNIogA1XZ9173Yb
108,Гурт Експрес,pop,Ой казав кум кумі,2020,3fwcicVMt5P1owRLwjdNMc
109,Balkar Sidhu,pop,Kurti Tang Kude,2020,44t5t0ZX2LQcMcdhKHkeOY
110,Teenage Gluesniffers,pop,I don't like mondays,2020,0l0VYvgwLUBOOj2N00tmav
111,Raquel Rastenni,pop,"Ikke penge, men godt humør",2020,19ozyVGN4J2vNtvRheVTHF
112,Fruto Sensual,pop,Fantasias,2020,4Hn2AqI7AUvURF3InKBvf4
113,Tasmin Archer,pop,In Your Care,2020,17NfPVxWlC5XiAUy0EA6nF
114,The Human League,pop,These Are the Days,2020,3wKXCeTWU612AmTUiDU6nq
115,Anupriya Lakhawat,pop,Garba Mashup,2020,4l1BMlg3SJoV3EdemnB1Le
116,Yuvraj Mewadi,pop,Banna Botal Thari Dag Dag Kare,2020,2GO2Do88xW1PulVGem6qZK
117,Jean Pierre Magnet,pop,El Rápido,2020,216QPvuSrsoU7WTQk77qwL
118,Kostas Makedonas,pop,O Minas Ehei Ennia,2020,57eL1l4Tv6rc9YlJ64EXqu
119,Ritu Guha,pop,O Akuler Kul,2020,6JPW34MtcpoDf9rkKxLg7R
120,Les Chats Sauvages,pop,Twist à Saint-Tropez,2020,7LLiMqKLjHzt5VYQGUEdzv
121,Vijay Chauhan,pop,Nand Bava Ne Mata Jasodaji Sambhare,2020,2KAsF0U3VaEvLGV1QwSNkE
122,NVDES,pop,Green,2020,6eGUDoWQcZewzbPWtQ6QzV
123,Elsa Pitaloka,pop,Menanti Hadirmu,2020,7drgvmJ4Vgb42AptRkxu3Q
124,Alt-Ctrl-Sleep,pop,Don't Carry It All,2020,3Puqpe53NUmcixD2ITZ3o0
125,Зинира Рамазанова,pop,Килмэ,2020,7q0rhAwN2SJ9UgYlo9psjt
126,Гурт Експрес,pop,Казав мені батко,2020,3zQ6F7YK5HOj4gnGlwRRgW
127,Cardiknox,pop,Your Love,2020,5t7lclMkY6XBU9SH1iHPWf
128,Lalitya Munshaw,pop,Om Gan Ganpataye,2020,2DuXgKp9fW4XHX3XbO01dZ
129,Edward Maya,pop,Be Free,2020,5t7zzvmDdM3OweiFJQBbiP
130,Buck Owens,pop,Please Don't Take Her from Me - Rerecorded,2020,1gOdSdMpCpw3DZtyNxAJ8t
131,Humane Sagar,pop,Premaku Biswasa Nahin,2020,2DvcY9cTUZub4Z29vwdmfy
132,CeeLo Green,pop,Fuck You - Le Castle Vania Remix,2020,7yGaZZmlL0qMhNdMbPFCWa
133,Тетяна Чирик,pop,Ще день пройде,2020,7c95P7tweeQaV7fUIXW94l
134,BISHNU MOHAN KABI,pop,Dhana Ratna Maana,2020,7nO7e04IYxLfuyVlycyV9E
135,Humane Sagar,pop,Bhala Pai Mate Parikhya Kara,2020,1OFbu9Q5eF8adxsQcGgWAh
136,Vinod Ranta,pop,Baanki Padosane,2020,3zJpa3x6Vvo4pNre72BxGZ
137,Fruto Sensual,pop,Mega Guimarães,2020,0nqJBWiKJoxE9AwTOlwsos
138,Suman Gupta,pop,Suru Suru Pyar Me,2020,0WZTWEgXTmGbK5l5N2R0PC
139,Diego & Victor Hugo,pop,To Te Filmando (Sorria) / Meu Bem Querer - Ao Vivo,2020,6nHDkcip4bjpzJKRdqFRn0
140,Rajeev Sharma,pop,Chhamak Chhalo,2020,69xYnBw8RUB71ghOnDkFEt
141,Waldo Cesar,pop,Doce Engano,2020,3gA4Dbah020deDPP8UKksI
142,Champe Khan,pop,MANWAR RO PYALO,2020,0sFWJjKVHxh0rG4w14ZH1q
143,Mangal Singh,pop,Helo Sunjo - Original,2020,3BCmeCnKlCiYn5BjmOBZAx
144,黄静美,pop,多年以前 - 伴奏,2020,7kcGzD4E0JjnZcItGP1VAs
145,Mansoor Ali Malangi,pop,Deis Punjab Di Ojtan,2020,3uybQ7PQ9wSe8ZREZlGegN
146,Mehnaz,pop,"Khilone Teri Zindagi, Pt. 1",2020,6dsh5FnGprWXLDodNnRIJR
147,Danyel Gerard,pop,Elle N'avait Que Dix-Sept Ans,2020,6sArkkCvL6d56nQfVpkDzt
148,Jonathan King,pop,This Is Reggae,2020,3uyx79CZAJs8jZ7kzfBZQe
149,Arsen Hayrapetyan,pop,Im Axjik,2020,35AvJfpPpqoicc8xyBuTeq
150,Spacehog,pop,In the Meantime,2020,35B2nmKAYMcaTMEpTyqxIG
151,Fruto Sensual,pop,Equipe Cyber Angel,2020,6qZqjHLblS5jUI0EI12ou1
152,Nura M. Inuwa,pop,Mu'azzam,2020,1t1vR8SvAvfSv5zXqjbRUT
153,Octorama,pop,Buscando Sonhos,2020,0l28TGdcB3nGUsWHhOSPEX
154,Afshan Zaibi,pop,Lacha Jhang Da,2020,2Mgw16WHnKwJxRQf1zdAKj
155,Spandau Ballet,pop,The Freeze,2020,1VzqHJqHPSErLKsEfNC5WQ
156,Frankie Valli & The Four Seasons,pop,"December, 1963 (Oh What a Night!)",2020,2de5W6chsf2rpcBlAxq46c
157,Donna Lewis,pop,I Love You Always Forever,2020,3ynMnH5IDlv45U1RUZEn9l
158,UMAKANT BARIK,pop,Piya O Piya,2020,4J7qDznZDAVwvmpw4wtXAn
159,Miso misara,pop,بحري الدكن,2020,7eCVjsUJ1RXmZ25MSqsk51
160,Anupam Roy,pop,Scattered Lines,2020,3xR5fznOAnU0CDisytGIFv
161,Annie Cordy,pop,La belle de l'Ohio - Remasterisé en 2020,2020,4ZXyDkcmlZ29wSyFOMn2aM
162,Stelios Kazantzidis,pop,Den Boro Pia na Vastaxo,2020,6zfY1mfI3KQjLAb43h1mvK
163,Thanks Joey,pop,Peninsula Playa / Don's House,2020,0zWR5IY5pUF0PiQMnty0eA
164,Mat Ngoc,pop,Trở Lại Mùa Hè,2020,3Rxka8Q6zn5hIaySnPxnu5
165,Primeira Estrada,pop,Gravidade,2020,4l2fO2IPG2iY1UxDAL1OBH
166,Mithu Marshal,pop,Hardi dudhawa pihile marle ba damad,2020,7q0awD2xz2hI8IIFssrtZ4
167,Simply Red,pop,Thrill Me,2020,1XwyH7Av88K0Dns0Y0nxnO
168,Becky Hill,pop,Losing,2020,0zX67sDrJUUiIZslJ9hy0Q
169,José Catire Carpio,pop,Desde que te vi,2020,130h0SVHpGLw6wnUe1Dka4
170,Manzura,pop,Мама,2020,56AIkUjZ0rmdd3o2OygUZj
171,Do,pop,"Kerstmis, Je Bent Welkom Hier",2020,2m5jc4Id20jQ7ogwDVKsmb
172,MARTTE,pop,Cor da Noite - Ao Vivo,2020,5nXDNPzxLaMIQZ0XII4QfI
173,Freja Kirk,pop,Pancake Epiphany,2020,5lIaoxgm3E3696xhutzFPv
174,Hilola Hamidova,pop,Dutor,2020,1I9JVoT4cAxro6dNe7Vvx5
175,Taurus the Rapper,pop,Voices in My Head,2020,7c730ENHKNlwM849wdoRki
